Time (ms), PV cell voltage (mV), Biosensor current (nA)
78392,493.5,1184.75,
78595,489.5,1183.5,
78799,493.125,1191.5,
79002,492,1181.875,
79205,489.625,1190,
79408,493.5,1191.625,
79611,490.125,1181.5,
79824,491.125,1191.25,
80018,493.75,1184.875,
80220,489.5,1183.25,
80423,493,1193.125,
80626,492.5,1182.625,
80829,489.375,1188.75,
81033,493.5,1190.875,
81236,490.25,1181.375,
81439,490.625,1192.25,
81641,493.625,1186.5,
81845,489.625,1182.25,
82048,492.75,1191.75,
82252,492.875,1182.625,
82454,489.375,1188.25,
82657,493.5,1193,
82860,490.625,1181.875,
83064,490.25,1190.875,
83267,493.625,1188.5,
83469,489.75,1182,
83673,492.25,1192.75,
83876,493.375,1184.25,
84091,489.5,1184.75,
84281,493.25,1191.75,
84485,491.625,1181.75,
84688,489.625,1190.5,
84891,493.5,1191.625,
85094,490,1181.625,
85297,491.375,1191.625,
85501,493.5,1184.75,
85703,489.5,1183.75,
85907,493,1193.625,
86110,492.375,1183,
86312,489.375,1189,
86516,493.5,1191.625,
86718,490.375,1181.75,
86922,490.375,1192.375,
87125,493.625,1187.75,
87328,489.625,1182.875,
87532,492.75,1192.25,
87733,492.875,1182.875,
87937,489.375,1188.875,
88140,493.5,1193.375,
88344,490.5,1182.5,
88546,490.375,1191.625,
88750,493.625,1188.125,
88953,489.75,1182.5,
89155,492.375,1193.375,
89359,493.25,1184.625,
89562,489.5,1185.875,
89764,493.25,1192.5,
89968,491.25,1182.25,
90172,489.875,1191.625,
90374,493.625,1190.875,
90577,489.875,1182.5,
90781,492.25,1192.375,
90984,493.375,1183.75,
91187,489.5,1185.5,
91389,493.25,1193.625,
91593,491.375,1183,
91797,489.75,1191,
92000,493.625,1190.25,
92201,490,1182,
92405,491.625,1193,
92608,493.625,1186,
92811,489.5,1183.875,
93014,493.125,1192.75,
93218,492.375,1182.375,
93421,489.5,1189.875,
93623,493.5,1192.875,
93827,490.125,1182.5,
94030,491,1192,
94233,493.75,1185,
94436,489.5,1183,
94639,493,1193.25,
94841,492.5,1183.5,
95046,489.5,1189.125,
95248,493.5,1191.875,
95451,490.375,1181.625,
95654,490.375,1191.875,
95858,493.625,1187.875,
96060,489.625,1183.125,
96264,492.75,1192.625,
96467,492.875,1182.375,
96670,489.5,1187.875,
96890,493.5,1193,
97077,490.625,1182.75,
97280,490.375,1191.625,
97483,493.625,1188.375,
97685,489.875,1181.5,
97888,492.375,1192.875,
98092,493.25,1184.5,
98294,489.5,1186.625,
98499,493.375,1192.75,
98701,491.125,1181.5,
98903,489.875,1191.125,
99108,493.625,1190.5,
99311,489.875,1182.875,
99513,492.375,1192.75,
99716,493.375,1183.5,
99920,489.375,1185.125,
100122,493.375,1193.125,
100325,491.125,1183,
100529,489.75,1191.5,
100731,493.625,1190.125,
100935,489.875,1181.5,
101137,491.875,1192.375,
101340,493.5,1185,
101544,489.5,1184.75,
101747,493.125,1193,
101950,492,1181.625,
102152,489.5,1189.5,
102356,493.5,1192,
102558,490.25,1182.5,
102762,490.75,1192.5,
102965,493.75,1185.875,
103168,489.5,1182,
103371,492.875,1192.5,
103574,492.75,1183.125,
103777,489.375,1189.375,
103980,493.5,1192.25,
104184,490.375,1181.625,
104386,490.375,1190.875,
104589,493.5,1187.5,
104794,489.625,1182.875,
104995,492.625,1193.125,
105199,492.875,1183.25,
105402,489.5,1187,
105605,493.375,1192.125,
105809,490.75,1182.125,
106012,490.125,1191.75,
106214,493.625,1189.25,
106418,489.75,1181.625,
106621,492.375,1191.875,
106823,493.25,1183.5,
107027,489.5,1186.125,
107230,493.375,1193.25,
107432,491.125,1182.125,
107637,489.75,1190.25,
107840,493.5,1189.375,
108047,489.875,1181.875,
108245,492.125,1192.75,
108449,493.5,1184.75,
108651,489.5,1183.75,
108854,493.125,1191.875,
109058,491.875,1181.875,
109260,489.625,1190.125,
109463,493.625,1191.25,
109668,490,1181.25,
109869,491.5,1191.375,
110074,493.625,1184.25,
110276,489.5,1183.75,
110479,493,1192.875,
110682,492.125,1182.25,
110885,489.5,1189.375,
111088,493.5,1190.875,
111291,490.25,1180.75,
111495,490.875,1192,
111698,493.75,1186,
111902,489.625,1182.5,
112104,493,1191.875,
112306,492.625,1181.625,
112510,489.5,1188.625,
112713,493.375,1191.875,
112916,490.375,1182,
113119,490.625,1191.375,
113323,493.75,1185.25,
113525,489.625,1181.75,
113729,492.875,1192.125,
113931,492.875,1183.25,
114135,489.5,1187.875,
114338,493.375,1191.25,
114541,490.5,1180.75,
114744,490.25,1190.5,
114948,493.5,1188.5,
115150,489.75,1181.875,
115353,492.25,1191.75,
115556,493.375,1182.375,
115760,489.5,1184.625,
115962,493.25,1192.125,
116165,491.125,1182.125,
116369,489.875,1190.5,
116572,493.625,1188.625,
116774,489.75,1180.25,
116978,492.25,1191.75,
117181,493.375,1183.875,
117385,489.5,1184.875,
117588,493.25,1192,
117790,491.375,1181.125,
117993,489.75,1189.5,
118197,493.625,1190.375,
118400,490,1181.875,
118603,491.5,1191.875,
118805,493.625,1184,
119008,489.5,1182.625,
119212,493.125,1192.125,
119415,492.125,1182.5,
119618,489.5,1189.625,
119821,493.5,1191.25,
120024,490.25,1180.625,
120227,490.625,1190.625,
120431,493.625,1186.625,
120634,489.5,1182.875,
120836,492.75,1192.25,
121039,492.875,1182.25,
121242,489.375,1186.25,
121447,493.375,1192.25,
121649,490.75,1181.875,
121853,490.125,1191.125,
122055,493.625,1188.625,
122259,489.75,1180.75,
122461,492.375,1191.75,
122664,493.25,1183.25,
122868,489.5,1185.625,
123070,493.25,1192.375,
123274,491.25,1181,
123476,489.75,1189.625,
123679,493.625,1189.75,
123883,489.875,1181.875,
124086,491.75,1192.125,
124289,493.5,1183.625,
124492,489.375,1182.5,
124695,493.125,1191.625,
124898,491.875,1182.25,
125101,489.5,1189.875,
